Name,Organization,Project 
Pau Riera i Portillo,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Vinayak Sharma,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Masood Kamandy,Processing Foundation,The Processing Foundation’s mission is to promote software literacy and visual literacy — and to make these fields accessible to diverse communities.
Joykirat Singh,Sugar Labs,"We make tools that learners use to explore, discover, create, and
reflect. We encourage our users to appropriate them, taking ownership
and responsibility for their learning."
Kira Patton,Debian,"Debian is a free operating system (OS). It provides more than an OS, coming with over 51,000 software packages bundled in a nice format for easy installation on your machine."
Javed Ali,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Nishant Mittal,Joplin,"Joplin is an open-source note taking and to-do application with synchronisation capabilities. The notes are searchable, tagged and images or files can be attached to them."
Samarpan Dutta,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC"
Thanoshan M.V.,The Apache Software Foundation,Providing open source software to the public free of charge
Anirban Chetia,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Pulkit Midha,MediaPipe,"MediaPipe offers open source cross-platform, customizable ML solutions for live and streaming media."
Rohit Topi,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Ayush Prasad,PEcAn Project,"Ecosystem science, policy, and management informed by the best data and models"
Shivam Agarwal,Chromium,"Chromium is an open-source project that aims to provide fast, seamless, safe, and reliable computing experiences for all."
Callum Brown,Matrix.org,"An open network for secure, decentralized communication"
Sanchit (pilgrim2308),coala,"coala provides a command-line interface for linting and fixing all your code, regardless of the programming languages you use with just one tool and just one configuration file."
ranjit shah,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
anuejn,apertus° Association,apertus° is developing free and open technology for professional film production.
Veronia Iskandar,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem
Utkarsh Shendge,The Palisadoes Foundation,"Our software projects help community-based organizations such as clubs, neighborhood groups, volunteer associations and small religious institutions manage their daily activities."
Valerius_B,freifunk,Freifunk is part of a global movement for free infrastructure. Our vision is the democratization of media with free networks. Wireless communities implement this idea worldwide.
Özgür Kara,"Department of Biomedical Informatics (BMI), Emory University School of Medicine","We are pushing the boundaries at the intersection of data science, software research and development, and integrative biomedical research to advance healthcare."
Sandeep Saurav,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
Azamat Akimniyazov,Apertium,A free/open-source machine translation platform.
Jianhui Lu,PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system."
Ankit kumar,OpenMRS,The OpenMRS community globally works together to build the world's leading open-source enterprise electronic medical record system platform.
fibersel,The Apache Software Foundation,Providing open source software to the public free of charge
Rushikesh Tote,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC"
Aaron Saw Min Sern,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
Jaikishan Brijwani,Sugar Labs,"We make tools that learners use to explore, discover, create, and
reflect. We encourage our users to appropriate them, taking ownership
and responsibility for their learning."
AYAN BISWAS,CircuitVerse.org,"CircuitVerse is an easy to use digital logic circuit simulator which aims at providing a platform to interactively create, share and learn digital circuits."
Soumya,Blender Foundation,"Blender is the free/open source 3D creation software for everyone, providing individuals and small teams a complete pipeline for 3D graphics, modeling, animation and games."
Pratyush Das,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Harsh Khilawala,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Piyumal Demotte,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Santhosh Anguluri,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Rishabh Garg,mlpack,"mlpack is a fast, flexible machine learning library written in C++."
Daniyal Abbasi,Django Software Foundation,"Django is a high-level Python Web framework originally designed to build high-performing, elegant Web applications quickly."
Ayush Tiwari,AOSSIE,The Australian umbrella organization for open-source projects.
Riccardo Mori,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Julius Hohnerlein,AFLplusplus,AFL++ - originally based on afl - is currently one of the most efficient fuzzers available and is deployed on Google's oss-fuzz. Join us to make afl++ even better!
Mark Nawar,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Saahil,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Ashish-Kumar,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
Suryansh Singh Tomar,AOSSIE,The Australian umbrella organization for open-source projects.
Christos Margiolis,FreeBSD Project,"FreeBSD is an advanced, open source operating system that features a mature network stack, a high degree of reliability, and excellent performance."
Fahad Nayyar,Java PathFinder,"JPF is a highly extensible Java virtual machine written in Java. It is used to create many verification and debugging tools, ranging from model checkers to test case generators."
Sourav singh,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
Aleksandr Gushchin,Xiph.Org Foundation,"The Xiph.Org Foundation is a non-profit dedicated to developing free, open protocols and software for multimedia on the Internet."
Lucas Stankus,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
YADNIK BENDALE,BeagleBoard.org Foundation,"BeagleBoard.org is advancing open source hardware and growing the community of embedded Linux developers. This year, we've added RISC-V hardware."
Srinivas Yadav,STE||AR Group,The STE||AR Group develops tools that simplify writing efficient parallel task-based applications that utilize all of the available compute resources in your machine.
daksh,Cuneiform Digital Library Initiative (CDLI),"CDLI is driven by the mission to enable collection, preservation, and accessibility of information concerning artifacts inscribed the cuneiform script."
Nazerke Turtayeva,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem
Akhil,PEcAn Project,"Ecosystem science, policy, and management informed by the best data and models"
Kaushik Sivashankar,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Barun,Public Lab,Public Lab is a community and non-profit democratizing science to address environmental issues that affect people.
Vedant Paranjape,libcamera,"An open source camera stack and framework for Linux, Android, and ChromeOS"
Hasan Faraz Khan,Hydra Ecosystem,Automate REST APIs. Build next generation API clients.
Aditya Mulgundkar,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
Abhijeet Bodas,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Oscar Ekholm,GNU Radio,GNU Radio is a free & open-source software development toolkit that provides signal processing blocks to implement software radios.
Lut,Elm Tooling,We're an organization to facilitate work on tooling for Elm
Yash-10,Libre Space Foundation,"Libre Space Foundation is working on several free software, open hardware and open data projects directly and indirectly related to space applications and technologies."
Zohaib Ansari,OpenStreetMap,"OpenStreetMap was started because most maps you think of as free have restrictions on their use, holding back people from using them in creative, productive, or unexpected ways."
Tasneem Koushar,Chromium,"Chromium is an open-source project that aims to provide fast, seamless, safe, and reliable computing experiences for all."
Harshit Sharma,Polypheny,Polypheny is a novel & innovative adaptive database system. It efficiently processes heterogeneous workloads by combining specialized storage engines based on a learned cost model.
Gaelan Steele,QEMU,"QEMU is an emulator and virtualizer that can run x86, ARM, and more virtual machines on a different machine. It has both dynamic binary translation and virtualization capabilities."
Kumar Kartikeya Dwivedi,CRIU,CRIU is a tool that can save the state of a running container to disk and restore the container later exactly as it was
Mostafa Ashraf Mohamed,Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers
Shravan Chaudhari,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Pavan Joshi,CircuitVerse.org,"CircuitVerse is an easy to use digital logic circuit simulator which aims at providing a platform to interactively create, share and learn digital circuits."
Mishal Singhai,"Center for Research in Open Source Software, UC Santa Cruz",CROSS bridges the gap between student research and successful open source projects.
Vasanth Mani Vasi,The Julia Language,A fresh approach to Technical Computing
Chandykunju Alex,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
zyklotomic,Haskell.org,"Haskell is an advanced, purely functional programming language. It boasts a strong type system with type inference. It compiles to fast native code with a concurrent runtime."
Qijia “Joy” Liu,CNCF,Building sustainable ecosystems for cloud native software
Tejasvi Chebrolu,SageMath,"SageMath is a free open-source mathematics software system licensed under the GPL.
It’s mission is “creating a viable free alternative to Magma, Maple, Mathematica and Matlab”."
Can Alpay,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Divyank Lunkad,AOSSIE,The Australian umbrella organization for open-source projects.
sh15h4nk,freifunk,Freifunk is part of a global movement for free infrastructure. Our vision is the democratization of media with free networks. Wireless communities implement this idea worldwide.
Omer Yacine,Shaka Player,Shaka Player is an open-source JavaScript library for streaming adaptive media. It plays adaptive media formats (such as DASH and HLS) in a browser.
Sushmita,Public Lab,Public Lab is a community and non-profit democratizing science to address environmental issues that affect people.
Yash Varshney,Wikimedia Foundation,"Wikimedia is a global movement whose mission is to bring free educational content to the world through its various projects, local chapters, and support structures."
Tin Chon Chan,Point Cloud Library,"The Point Cloud Library (PCL) is a standalone, large scale, open project for 2D/3D image and point cloud processing."
Ricardo Subtil,Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor
Dhruv Sondhi,TARDIS SN,TARDIS is a community-developed tool to simulate the spectrum of light emitted by exploding stars using Monte Carlo techniques.
Yunfei Zhao,Red Hen Lab,Research on Multimodal Communication
Trung Ngo Tan,RoboComp,RoboComp is a modern open-source Robotics framework.
Simran Kathpalia,FreeBSD Project,"FreeBSD is an advanced, open source operating system that features a mature network stack, a high degree of reliability, and excellent performance."
Shivam Pathak,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
Shardul Semwal,Kodi,The ultimate entertainment center
akash konda,Joplin,"Joplin is an open-source note taking and to-do application with synchronisation capabilities. The notes are searchable, tagged and images or files can be attached to them."
Satyam Kumar,MBDyn,MBDyn is a free general-purpose multibody/multiphysics solver
Martin Schulz,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Anuj Singhal,MIT App Inventor,"MIT App Inventor is a free, open source web app that anyone can use to build mobile apps."
Laurine Dargaud,Pharo Consortium,"Pharo is a pure object-oriented programming language and a powerful environment, focused on simplicity and immediate feedback (think IDE and OS rolled into one)."
Antriksh Misri,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
sayandip18,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Ashish Patel,Project WikiLoop,WikiLoop is an umbrella for a series of projects contributing to open knowledge at scale. Tibetan Initiative branch focuses on preserving precious knowledge of human civilization.
Anuj Lamoria,CHAOSS Project,CHAOSS is an open source project focused on creating analytics and metrics to help define community health. The CHAOSS Project community is organized around software and metrics.
Junxuan Wu,The Apache Software Foundation,Providing open source software to the public free of charge
Niklas Schmitz,The Julia Language,A fresh approach to Technical Computing
Dimitris Papageorgiou,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
EXTREMOPHILARUM,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Hae Dong Lee,The Apache Software Foundation,Providing open source software to the public free of charge
srikavin,strace,"strace is a diagnostic, debugging and instructional userspace utility for Linux. It is used to monitor and tamper with interactions between processes and the Linux kernel."
Isala Piyarisi,openSUSE Project,"The openSUSE project is a community effort to enhance and promote the use of Linux. openSUSE creates one of the world's best Linux distributions, as well as a variety of tools."
Cian Jinks,Blender Foundation,"Blender is the free/open source 3D creation software for everyone, providing individuals and small teams a complete pipeline for 3D graphics, modeling, animation and games."
Kaaira Gupta,TianoCore,TianoCore is the community supporting an open source implementation of the Unified Extensible Firmware Interface (UEFI). EDK II is our firmware development environment.
Aditya Kurkure,Google FHIR SDK,"The Android FHIR SDK is an Android library for building offline-capable, mobile-first healthcare applications using FHIR resources on Android."
Utkarsh A. Mishra,JdeRobot - Universidad Rey Juan Carlos,"JdeRobot is a software toolkit for development of Robotics and Computer Vision applications. ROS friendly. It uses Python, C++, JS. It includes an Academy to learn robotics"
Sheng-Feng,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
Nippun Sharma,mlpack,"mlpack is a fast, flexible machine learning library written in C++."
Nga Tran,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Toshiaki Tanaka,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
Dhruv P,CNCF,Building sustainable ecosystems for cloud native software
Katie Chan,Processing Foundation,The Processing Foundation’s mission is to promote software literacy and visual literacy — and to make these fields accessible to diverse communities.
srnaveen2k,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
Meet Shah,The Terasology Foundation,"The Terasology Foundation is the organization behind Terasology, DestinationSol, and a series of related work aimed at making game development in Java easier and more fun."
Bhumit Attarde,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Tidiane,Django Software Foundation,"Django is a high-level Python Web framework originally designed to build high-performing, elegant Web applications quickly."
Anoushka Ramesh,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Piyush Singariya,CNCF,Building sustainable ecosystems for cloud native software
Anmol .,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
ayoubft,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
Pavit Kaur,Debian,"Debian is a free operating system (OS). It provides more than an OS, coming with over 51,000 software packages bundled in a nice format for easy installation on your machine."
Yongha Hwang,Xfce,"Xfce is a lightweight desktop environment for UNIX-like operating systems. It aims to be fast and low on system resources, while still being visually appealing and user friendly."
Sahil Walke,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Gurudatta Patil,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Manikant Rai,Google FHIR SDK,"The Android FHIR SDK is an Android library for building offline-capable, mobile-first healthcare applications using FHIR resources on Android."
Lenka Hasova,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Gagandeep Singh,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Dhruv Sachdev,CHAOSS Project,CHAOSS is an open source project focused on creating analytics and metrics to help define community health. The CHAOSS Project community is organized around software and metrics.
Aoji Xie,Open Genome Informatics,"Developing open source and open access genome and bioinformatics databases, tools and resources."
Rashmi Raj,openastronomy,OpenAstronomy is an umbrella organisation that includes open source projects used by researchers and engineers around the world to better understand the universe.
Lokesh Rana,Open Genome Informatics,"Developing open source and open access genome and bioinformatics databases, tools and resources."
Fernando Martin,RoboComp,RoboComp is a modern open-source Robotics framework.
Abhishek Kumar Jha,The ENIGMA Team,"ENIGMA is a tool for rapid game development. Its goal is to be easy to learn and easy to use, taking the toil out of managing assets and the complicated interactions between them."
Z0marlin,CNCF,Building sustainable ecosystems for cloud native software
Sudeep Sidhu,SymPy,SymPy is a Python library for symbolic mathematics. It is a full-featured computer algebra system (CAS). SymPy is written entirely in Python.
Zeeshan Rafique,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem
Arjun Gupta,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Tushar Jain-2,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Germano dos Santos,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Jaiwanth,Matrix.org,"An open network for secure, decentralized communication"
Anshuman Singh-1,GitLab,GitLab is a complete DevOps platform delivered as a single application. This makes GitLab unique and creates a streamlined software workflow for your organization.
Geetansh Saxena,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Abhirup Pal,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Mihai Popescu,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.
Jeppe Blomgren,MetaCall,"MetaCall is a extensible, embeddable and interoperable cross-platform polyglot runtime. It supports vanilla JavaScript, TypeScript, Python, Ruby, C#, Go, Rust, D, Cobol and more."
SUSHANT A.A.,Inkscape,"An Open Source vector graphics editor, using the W3C standard Scalable Vector Graphics (SVG) file format."
Zulai Wang,Ceph,"An open-source storage platform, that implements storage on a single distributed computer cluster, and provides a 3-in-1 interfaces for object-, block- and file-level storage."
Maneesh P M,Kiwix,Kiwix is the offline platform that allows people without internet connectivity to browse a wide range of educational websites archived as zim files.
Zihao Mu,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
Dhairya Khanna,Wikimedia Foundation,"Wikimedia is a global movement whose mission is to bring free educational content to the world through its various projects, local chapters, and support structures."
Ross Viljoen,The Julia Language,A fresh approach to Technical Computing
Dev Sebastian,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Nur El-Din El-Rez,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Kartikay Sharma,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
Rishabh Kumar,The Libreswan Project,"VPN encryption using IKEv2 and IPsec to encrypt networks, clouds and the Internet"
Devesh Kumar,JBoss Community,JBoss Community is a community of open source projects around JBoss middleware
Katrix,Scala Center,"independent, not-for-profit center guiding and supporting the Scala community"
Eshan Tripathi-1,PEcAn Project,"Ecosystem science, policy, and management informed by the best data and models"
Dmitrii Klepikov,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
Maximiliano Sandoval,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
dvd48,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Abhimanyu Rawat,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
mablin,Joplin,"Joplin is an open-source note taking and to-do application with synchronisation capabilities. The notes are searchable, tagged and images or files can be attached to them."
Ethin Probst,TianoCore,TianoCore is the community supporting an open source implementation of the Unified Extensible Firmware Interface (UEFI). EDK II is our firmware development environment.
ZheNing Hu,Git,"Git is the most widely-used revision control system in Open Source. It
is a distributed system with an emphasis on speed, data integrity, and
support for many workflows."
Noah Bouchier,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Asha Sulaiman,CiviCRM LLC,CiviCRM is the leading open source CRM for nonprofits worldwide.
boron,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Pratik Dey,AboutCode,"AboutCode is a suite of tools to uncover data ... about software and code:

 - Where does it come from?
 - What is its license?
 - Is it secure, maintained, well coded?"
Vikram Atreyapurapu,BRL-CAD,"BRL-CAD partners with several computer-aided technologies (CAx) including LibreCAD, OpenSCAD, FreeCAD, & IfcOpenShell.  We do graphics, geometry, CAD, & CAD standards."
Aaryan Kothari,AOSSIE,The Australian umbrella organization for open-source projects.
Rohan Lekhwani,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
Aniket Bhat,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Wahab Oguntade,Postman,Postman provides solutions for all stages of the API lifecycle. Our open source modules power core features and give developers the flexibility to work in different environments.
Zelong Yue,libvirt,Libvirt is a library and toolkit providing abstraction for various hypervisors. It can be used from a number of languages.
Pratyush Ranjan,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Vishwas Adiga,MIT App Inventor,"MIT App Inventor is a free, open source web app that anyone can use to build mobile apps."
Debabrata Mandal,The Julia Language,A fresh approach to Technical Computing
danseraf,Software Heritage,"Software Heritage collect, preserve, and share the entire body of publicly available free and open source software source code, along with its full development history."
Singh Prabhat,BRL-CAD,"BRL-CAD partners with several computer-aided technologies (CAx) including LibreCAD, OpenSCAD, FreeCAD, & IfcOpenShell.  We do graphics, geometry, CAD, & CAD standards."
Shivam Singh-3,The Apache Software Foundation,Providing open source software to the public free of charge
Marvin Häuser,TianoCore,TianoCore is the community supporting an open source implementation of the Unified Extensible Firmware Interface (UEFI). EDK II is our firmware development environment.
Apoorv Srivastava,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Alexander Slesarev,PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system."
Pedro Falcato,TianoCore,TianoCore is the community supporting an open source implementation of the Unified Extensible Firmware Interface (UEFI). EDK II is our firmware development environment.
Lohith Munakala,Integrated Ocean Observing System (IOOS),IOOS is an integrated network of people/technology gathering observing data and developing tracking and predictive tools. For more info please check https://github.com/ioos/gsoc
Sarita Singh,FOSSology,"FOSSology is an open source license compliance software system and toolkit. License, copyright and export scanners are tools used in the workflow."
rishabhsingh3003,ArduPilot,"The world's most versatile, trusted and open autopilot"
DEVANSH DIXIT,CircuitVerse.org,"CircuitVerse is an easy to use digital logic circuit simulator which aims at providing a platform to interactively create, share and learn digital circuits."
Param Mirnai,OpenMined,"OpenMined is an open-source community of researchers, engineers, mentors and enthusiasts committed to making a fairer world by building and teaching privacy enhancing technologies"
isabella Macchivello,Orcasound,Humans & machines listening together to save the whales.
Syed Fahad,Boost C++ Libraries,"Boost provides free peer-reviewed portable C++ source libraries.
We emphasize libraries that work well with the C++ Standard Library and are intended to be widely useful."
Fernando Casabán Blasco,DBpedia,DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web
Bala Dhinesh,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem
ear7h,Haskell.org,"Haskell is an advanced, purely functional programming language. It boasts a strong type system with type inference. It compiles to fast native code with a concurrent runtime."
Sagilio,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC"
Aditya Ahuja,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Yash Mathne,syslog-ng,Open source log management solution with over a million users worldwide.
willpiper,ArduPilot,"The world's most versatile, trusted and open autopilot"
Filip Adamik,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
Archit_Agrawal,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
kfb19,OpenMRS,The OpenMRS community globally works together to build the world's leading open-source enterprise electronic medical record system platform.
Ishaan Arora,Inkscape,"An Open Source vector graphics editor, using the W3C standard Scalable Vector Graphics (SVG) file format."
Piumal Rathnayake,OpenMRS,The OpenMRS community globally works together to build the world's leading open-source enterprise electronic medical record system platform.
Anantha Rao,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Psyogi Soma,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Nizar Benshaqi,VideoLAN,The VideoLAN project is led by and composed of a team of volunteers who believe in the power of open source to rock the multimedia world.
Pulkit Sharma,Continuous Delivery Foundation,The Continuous Delivery Foundation (CDF) is an open-source community that seeks to improve the world’s capacity to deliver software with security and speed.
Mohammad Hesam Shaelaie,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Bui Quang Minh,CRIU,CRIU is a tool that can save the state of a running container to disk and restore the container later exactly as it was
Husni Faiz,RTEMS Project,"RTEMS is an operating system used in satellites, particle accelerators, robots, racing motorcycles, building controls, medical devices, and more."
Mahak Porwal,Kiwix,Kiwix is the offline platform that allows people without internet connectivity to browse a wide range of educational websites archived as zim files.
Konstantinos Pallikaris,GeomScale,"GeomScale is a research and development project that delivers open source code in the intersection of data science, optimization, geometric and statistical computing."
Yeshuai Cui,CNCF,Building sustainable ecosystems for cloud native software
Allan Juan,Rocket.Chat,The ultimate open source team chat and extensible communications platform.
George Vaindirlis,VideoLAN,The VideoLAN project is led by and composed of a team of volunteers who believe in the power of open source to rock the multimedia world.
Pushpinder Pal Singh,VideoLAN,The VideoLAN project is led by and composed of a team of volunteers who believe in the power of open source to rock the multimedia world.
Akshay_Sharma,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Tomoki Sugiura,Cilium,"Cilium provides eBPF-based networking, observability, and security with optimal scale and performance for platform teams operating Kubernetes environments."
Rohit Menon,Ruby,"The Ruby organization collects mentors and students working on the Ruby language (MRI), the Ruby packaging system (Bundler, RubyGems, and RubyGems.org), and other Ruby projects."
Abanoub Ghadban,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
Mario Robert D'Ambrosio,AerospaceResearch.net,"Making space together. Space is interdisciplinary, international & intercultural. We live this philosophy. Help the space community realizing our dream of open space for everybody"
Siddharth Naithani ;sn99,Xiph.Org Foundation,"The Xiph.Org Foundation is a non-profit dedicated to developing free, open protocols and software for multimedia on the Internet."
Rachitt Shah,openastronomy,OpenAstronomy is an umbrella organisation that includes open source projects used by researchers and engineers around the world to better understand the universe.
Mariam Fahmy,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Nitesh Sinha,OpenWISP,"OpenWISP is an open source network management system which runs on low cost hardware and be used to manage networks: from public wifi, university wifi, to mesh networks and IoT."
victorcwai,openSUSE Project,"The openSUSE project is a community effort to enhance and promote the use of Linux. openSUSE creates one of the world's best Linux distributions, as well as a variety of tools."
Ali A. Hariri,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Aniket Ray,MediaPipe,"MediaPipe offers open source cross-platform, customizable ML solutions for live and streaming media."
Monalisha Ojha,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Cameron Connell,Plan 9 Foundation,"Plan 9 is an operating system for distributed computing. The ideas from Plan 9 have also shown up in other projects like Inferno and plan9port, which also fall under our umbrella."
Vaibhav Thakkar,GeomScale,"GeomScale is a research and development project that delivers open source code in the intersection of data science, optimization, geometric and statistical computing."
zhixiang Chen,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC"
